PartitionKey,RowKey,Timestamp,OutcomeCode,OutcomeCode@type,OutcomeDescription,OutcomeDescription@type,Owner,Owner@type,Primary,Primary@type,Secondary,Secondary@type,Senior,Senior@type,Subject,Subject@type,Syllabus,Syllabus@type,SyllabusId,SyllabusId@type
mextJp,mextJp-82V12-8200000000000000,2023-06-22T03:14:27.678666+0000,8200000000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|総則,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82000A0621000000,2023-06-22T03:14:27.678666+0000,82000A0621000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|(1) 第１学年及び第２学年においては，挨拶などの基本的な生活習慣を身に付けること，善悪を判断し，してはならないことをしないこと，社会生活上のきまりを守ること。,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|総則,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82000C0622000000,2023-06-22T03:14:27.678666+0000,82000C0622000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|(2) 第３学年及び第４学年においては，善悪を判断し，正しいと判断したことを行うこと，身近な人々と協力し助け合うこと，集団や社会のきまりを守ること。,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|総則,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82000D0623000000,2023-06-22T03:14:27.678666+0000,82000D0623000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|(3) 第５学年及び第６学年においては，相手の考え方や立場を理解して支え合うこと，法やきまりの意義を理解して進んで守ること，集団生活の充実に努めること，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること。,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|総則,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82n0000000000000,2023-06-22T03:14:27.678666+0000,82n0000000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|第２章 各教科,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|各教科（共通）,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-8210000000000000,2023-06-22T03:14:27.678666+0000,8210000000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|別表 学年別漢字配当表,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|国語,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-8210100000000000,2023-06-22T03:14:27.678666+0000,8210100000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|別表 学年別漢字配当表|(3) 言葉がもつよさを認識するとともに，言語感覚を養い，国語の大切さを自覚し，国語を尊重してその能力の向上を図る態度を養う。,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|国語,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-8210200000000000,2023-06-22T03:14:27.678666+0000,8210200000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|別表 学年別漢字配当表|第２ 各学年の目標及び内容  ,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|国語,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82102A0000000000,2023-06-22T03:14:27.678666+0000,82102A0000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|別表 学年別漢字配当表|第２ 各学年の目標及び内容|〔第１学年及び第２学年〕,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|国語,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
mextJp,mextJp-82V12-82102A2000000000,2023-06-22T03:14:27.678666+0000,82102A2000000000,String,４ 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。|別表 学年別漢字配当表|第２ 各学年の目標及び内容|〔第１学年及び第２学年〕|１ 目標 ,String,MEXT of Japan,String,True,Boolean,False,Boolean,False,Boolean,小学校|国語,String,小学校 学習指導要領（平成29年告示版）,String,82V12,String
