PartitionKey,RowKey,Timestamp,OutcomeCode,OutcomeCode@type,OutcomeDescription,OutcomeDescription@type,Owner,Owner@type,Primary,Primary@type,Secondary,Secondary@type,Senior,Senior@type,Subject,Subject@type,Syllabus,Syllabus@type,SyllabusId,SyllabusId@type
mextJp,mextJp-83V11-8300000000000000,2023-05-12T04:36:57.358239+0000,8300000000000000,String,第１章 総則,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000100000000,2023-05-12T04:36:57.358239+0000,8300000100000000,String,第１ 中学校教育の基本と教育課程の役割,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000110000000,2023-05-12T04:36:57.358239+0000,8300000110000000,String,第１ 中学校教育の基本と教育課程の役割|１ 各学校においては，教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い，生徒の人間として調和のとれた育成を目指し，生徒の心身の発達の段階や特性及び学校や地域の実態を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000120000000,2023-05-12T04:36:57.358239+0000,8300000120000000,String,第１ 中学校教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(3)までに掲げる事項の実現を図り，生徒に生きる力を育むことを目指すものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000121000000,2023-05-12T04:36:57.358239+0000,8300000121000000,String,第１ 中学校教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(3)までに掲げる事項の実現を図り，生徒に生きる力を育むことを目指すものとする。|(1) 基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力等を育むとともに，主体的に学習に取り組む態度を養い，個性を生かし多様な人々との協働を促す教育の充実に努めること。その際，生徒の発達の段階を考慮して，生徒の言語活動など，学習の基盤をつくる活動を充実するとともに，家庭との連携を図りながら，生徒の学習習慣が確立するよう配慮すること。 ,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000122000000,2023-05-12T04:36:57.358239+0000,8300000122000000,String,"第１ 中学校教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(3)までに掲げる事項の実現を図り，生徒に生きる力を育むことを目指すものとする。|(2) 道徳教育や体験活動，多様な表現や鑑賞の活動等を通して，豊かな心や創造性の涵《かん》養を目指した教育の充実に努めること。 学校における道徳教育は，特別の教科である道徳（以下「道徳科」という。）を要として学校の教育活動全体を通じて行うものであり，道徳科はもとより，各教科，総合的な学習の時間及び特別活動のそれぞれの特質に応じて，生徒の発達の段階を考慮して，適切な指導を行うこと。 道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，自己の生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とすること。 道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓《ひら》く主体性のある日本人の育成に資することとなるよう特に留意すること。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000123000000,2023-05-12T04:36:57.358239+0000,8300000123000000,String,第１ 中学校教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(3)までに掲げる事項の実現を図り，生徒に生きる力を育むことを目指すものとする。|(3) 学校における体育・健康に関する指導を，生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うことにより，健康で安全な生活と豊かなスポーツライフの実現を目指した教育の充実に努めること。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，保健体育科，技術・家庭科及び特別活動の時間はもとより，各教科，道徳科及び総合的な学習の時間などにおいてもそれぞれの特質に応じて適切に行うよう努めること。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮すること。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000130000000,2023-05-12T04:36:57.358239+0000,8300000130000000,String,第１ 中学校教育の基本と教育課程の役割|３ ２の(1)から(3)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，総合的な学習の時間及び特別活動（以下「各教科等」という。ただし，第２の３の(2)のア及びウにおいて，特別活動については学級活動（学校給食に係るものを除く。）に限る。）の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，生徒の発達の段階や特性等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000131000000,2023-05-12T04:36:57.358239+0000,8300000131000000,String,第１ 中学校教育の基本と教育課程の役割|３ ２の(1)から(3)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，総合的な学習の時間及び特別活動（以下「各教科等」という。ただし，第２の３の(2)のア及びウにおいて，特別活動については学級活動（学校給食に係るものを除く。）に限る。）の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，生徒の発達の段階や特性等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(1) 知識及び技能が習得されるようにすること。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000132000000,2023-05-12T04:36:57.358239+0000,8300000132000000,String,第１ 中学校教育の基本と教育課程の役割|３ ２の(1)から(3)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，総合的な学習の時間及び特別活動（以下「各教科等」という。ただし，第２の３の(2)のア及びウにおいて，特別活動については学級活動（学校給食に係るものを除く。）に限る。）の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，生徒の発達の段階や特性等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(2) 思考力，判断力，表現力等を育成すること。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000133000000,2023-05-12T04:36:57.358239+0000,8300000133000000,String,第１ 中学校教育の基本と教育課程の役割|３ ２の(1)から(3)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，総合的な学習の時間及び特別活動（以下「各教科等」という。ただし，第２の３の(2)のア及びウにおいて，特別活動については学級活動（学校給食に係るものを除く。）に限る。）の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，生徒の発達の段階や特性等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(3) 学びに向かう力，人間性等を涵養すること。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000140000000,2023-05-12T04:36:57.358239+0000,8300000140000000,String,第１ 中学校教育の基本と教育課程の役割|４ 各学校においては，生徒や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000200000000,2023-05-12T04:36:57.358239+0000,8300000200000000,String,第２ 教育課程の編成,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000210000000,2023-05-12T04:36:57.358239+0000,8300000210000000,String,"第２ 教育課程の編成|１ 各学校の教育目標と教育課程の編成 教育課程の編成に当たっては，学校教育全体や各教科等における指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに，教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，第４章総合的な学習の時間の第２の１に基づき定められる目標との関連を図るものとする。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000220000000,2023-05-12T04:36:57.358239+0000,8300000220000000,String,第２ 教育課程の編成|２ 教科等横断的な視点に立った資質・能力の育成,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000221000000,2023-05-12T04:36:57.358239+0000,8300000221000000,String,第２ 教育課程の編成|２ 教科等横断的な視点に立った資質・能力の育成|(1) 各学校においては，生徒の発達の段階を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000222000000,2023-05-12T04:36:57.358239+0000,8300000222000000,String,第２ 教育課程の編成|２ 教科等横断的な視点に立った資質・能力の育成|(2) 各学校においては，生徒や学校，地域の実態及び生徒の発達の段階を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
mextJp,mextJp-83V11-8300000230000000,2023-05-12T04:36:57.358239+0000,8300000230000000,String,第２ 教育課程の編成|３ 教育課程の編成における共通的事項,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,中学校|総則,String,83V11,String,83V11,String
