教科等,No,学習指導要領テキスト,学習指導要領コード
総則,1,第１章　総則,8B00000000000000
総則,2,"第１節　教育目標
高等部における教育については，学校教育法第 72 条に定める目的を実現するために，生徒の障害の状態や特性及び心身の発達の段階等を十分考慮して，次に掲げる目標の達成に努めなければならない。",8B00000100000000
総則,3,１　学校教育法第 51 条に規定する高等学校教育の目標,8B00000110000000
総則,4,２　生徒の障害による学習上又は生活上の困難を改善・克服し自立を図るために必要な知識，技能，態度及び習慣を養うこと。,8B00000120000000
総則,5,第２節　教育課程の編成,8B00000200000000
総則,6,第１款　高等部における教育の基本と教育課程の役割,8B00000210000000
総則,7,１　各学校においては，教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い，生徒の人間として調和のとれた育成を目指し，生徒の障害の状態や特性及び心身の発達の段階等，学科の特色及び学校や地域の実態を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。,8B00000211000000
総則,8,２  学校の教育活動を進めるに当たっては，各学校において，第３款の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り， 生徒に生きる力を育むことを目指すものとする。,8B00000212000000
総則,9,(1) 基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力等を育むとともに，主体的に学習に取り組む態度を養い，個性を生かし多様な人々との協働を促す教育の充実に努めること。その際，生徒の発達の段階を考慮して，生徒の言語活動など， 学習の基盤をつくる活動を充実するとともに，家庭との連携を図りながら，生徒の学習習慣が確立するよう配慮すること。,8B00000212100000
総則,10,"(2) 道徳教育や体験活動，多様な表現や鑑賞の活動等を通して，豊かな心や創造性の涵養を目指した教育の充実に努めること。
学校における道徳教育は，人間としての在り方生き方に関する教育を学校の教育活動全体を通じて行うことによりその充実を図るものとし，視覚障害者， 聴覚障害者，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校においては，各教科に属する科目（以下「各教科・科目」という。），総合的な探究の時間，特別活動及び自立活動（以下「各教科・科目等」という。） において，また，知的障害者である生徒に対する教育を行う特別支援学校においては，第３章に掲げる特別の教科である道徳（以下「道徳科」という。）を要として，各教科，総合的な探究の時間，特別活動及び自立活動において，それぞれの特質に応じて，適切な指導を行うこと。
道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，生徒が自己探求と自己実現に努め国家・社会の一員としての自覚に基づき行為しうる発達の段階にあることを考慮し，人間としての在り方生き方を考え， 主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とすること。
道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち， 伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓く主体性のある日本人の育成に資することとなるよう特に留意すること。",8B00000212200000
総則,11,(3) 学校における体育・健康に関する指導を，生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うことにより，健康で安全な生活と豊かなスポーツライフの実現を目指した教育の充実に努めること。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，保健体育科，家庭科及び特別活動の時間はもとより，各教科・科目，総合的な探究の時間及び自立活動（知的障害者である生徒に対する教育を行う特別支援学校においては，各教科，道徳科，総合的な探究の時間及び自立活動。）などにおいてもそれぞれの特質に応じて適切に行うよう努めること。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮すること。,8B00000212300000
総則,12,(4) 学校における自立活動の指導は，障害による学習上又は生活上の困難を改善・克服し，自立し社会参加する資質を養うため，自立活動の時間はもとより，学 校の教育活動全体を通じて適切に行うものとする。特に，自立活動の時間における指導は，各教科・科目，総合的な探究の時間及び特別活動（知的障害者である生徒に対する教育を行う特別支援学校においては，各教科，道徳科，総合的な探究の時間及び特別活動。）と密接な関連を保ち，個々の生徒の障害の状態や特性及び心身の発達の段階等を的確に把握して，適切な指導計画の下に行うよう配慮すること。,8B00000212400000
総則,13,３　２の(1)から(4)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される生徒に，生きる力を育むことを目指すに当たっては，学校教育全体，各教科・科目等並びに知的障害者である生徒に対する教育を行う特別支援学校における各教科，道徳科，総合的な探究の時間，特別活動及び自立活動（以下「各教科等」という。）において，それぞれの指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，生徒の障害の状態や特性及び心身の発達の段階等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。,8B00000213000000
総則,14,(1) 知識及び技能が習得されるようにすること。,8B00000213100000
総則,15,(2) 思考力，判断力，表現力等を育成すること。,8B00000213200000
総則,16,(3) 学びに向かう力，人間性等を涵養すること。,8B00000213300000
総則,17,４  学校においては，生徒の障害の状態や特性及び心身の発達の段階等，学校や地域の実態等に応じて，就業やボランティアに関わる体験的な学習の指導を適切に行うようにし，勤労の尊さや創造することの喜びを体得させ，望ましい勤労観， 職業観の育成や社会奉仕の精神の涵養に資するものとする。,8B00000214000000
総則,18,５  各学校においては，生徒や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。その際，生徒に何が身に付いたかという学習の成果を的確に捉え，第２款の３の(5) のイに示す個別の指導計画の実施状況の評価と改善を，教育課程の評価と改善につなげていくよう工夫すること。,8B00000215000000
総則,19,第２款　教育課程の編成,8B00000220000000
総則,20,"１  各学校の教育目標と教育課程の編成  
教育課程の編成に当たっては，学校教育全体，各教科・科目等及び各教科等において，それぞれの指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに，教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，第４章総合的な探究の時間において準ずるものとしている高等学校学習指導要領第４章の第２の１に基づき定められる目標との関連を図るものとする。",8B00000221000000
総則,21,２  教科等横断的な視点に立った資質・能力の育成,8B00000222000000
総則,22,(1) 各学校においては，生徒の障害の状態や特性及び心身の発達の段階等を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科・科目等又は各教科等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。,8B00000222100000
総則,23,(2) 各学校においては，生徒や学校，地域の実態並びに生徒の障害の状態や特性及び心身の発達の段階等を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。,8B00000222200000
総則,24,３　教育課程の編成における共通的事項,8B00000223000000
総則,25,(1) 視覚障害者，聴覚障害者，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校における各教科・科目等の履修等,8C00000223100000
総則,26,ア　各教科・科目及び単位数等,8C00000223110000
総則,27,"(ア) 卒業までに履修させる単位数等 
各学校においては，卒業までに履修させる(イ)から(オ)までに示す各教科・科目及びその単位数，総合的な探究の時間の単位数，特別活動及びその授業時数並びに自立活動の授業時数に関する事項を定めるものとする。この場合，卒業までに履修させる単位数の計は，イの(ア)及び(イ)に掲げる各教科・科目の単位数並びに総合的な探究の時間の単位数を含めて 74 単位（自立活動の授業については，授業時数を単位数に換算して，この単位数に含めることができる。）以上とする。
単位については，１単位時間を 50 分とし，35 単位時間の授業を１単位として計算することを標準とする。",8C00000223111000
総則,28,"(イ) 各学科に共通する各教科・科目及び標準単位数
各学校においては，教育課程の編成に当たって，次の表に掲げる各教科・科目及びその標準単位数を踏まえ，生徒に履修させる各教科・科目及びそれらの単位数について適切に定めるものとする。ただし，生徒の実態等を考慮し，特に必要がある場合には，標準単位数の標準の限度を超えて単位数を増加して配当することができる。",8C00000223112000
総則,29,"【摘要】教科等（科目：標準単位数）
国語（現代の国語：２，言語文化：２，論理国語：４，文学国語：４，国語表現：４，古典探究：４）
地理歴史（地理総合：２，地理探究：３，歴史総合：２，日本史探究：３，世界史探究：３）
公民（公共：２，倫理：２，政治・経済：２）
数学（数学Ⅰ：３，数学Ⅱ：４，数学Ⅲ：３,数学Ａ：２，数学Ｂ：２，数学Ｃ：２）
理科（科学と人間生活：２，物理基礎：２，物理：４，化学基礎：２，化学：４，生物基礎：２，生物：４，地学基礎：２，地学：４）
保健体育（体育：７～８，保健：２）
芸術（音楽Ⅰ：２，音楽Ⅱ：２，音楽Ⅲ：２，美術Ⅰ：２，美術Ⅱ：２，美術Ⅲ：２，工芸Ⅰ：２，工芸Ⅱ：２，工芸Ⅲ：２，書道Ⅰ：２，書道Ⅱ：２，書道Ⅲ：２）
外国語（英語コミュニケーションⅠ：３，英語コミュニケーションⅡ：４，英語コミュニケーションⅢ：４，論理・表現Ⅰ：２，論理・表現Ⅱ：２，論理・表現Ⅲ：２）
家庭（家庭基礎：２，家庭総合：４）
情報（情報Ⅰ：２，情報Ⅱ：２）
理数（理数探究基礎：１，理数探究：２～５）",8C00000223112100
総則,30,"(ウ) 主として専門学科において開設される各教科・科目
各学校においては，教育課程の編成に当たって，視覚障害者である生徒に対する教育を行う特別支援学校にあっては次の表の?及び?，聴覚障害者である生徒に対する教育を行う特別支援学校にあっては次の表の?及び?，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校にあっては次の表の?に掲げる主として専門学科（専門教育を主とする学科をいう。以下同じ。）において開設される各教科・科目及び設置者の定めるそれぞれの標準単位数を踏まえ，生徒に履修させる各教科・科目及びその単位数について適切に定めるものとする。",8C00000223113000
総則,31,? 視覚障害者，聴覚障害者，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校,8C00000223113100
総則,32,農業（農業と環境，課題研究，総合実習，農業と情報，作物，野菜，果樹，草花，畜産，栽培と環境，飼育と環境，農業経営，農業機械，植物バイオテクノロジー，食品製造，食品化学，食品微生物，食品流通，森林科学，森林経営，林産物利用，農業土木設計，農業土木施工，水循環，造園計画，造園施工管理，造園植栽，測量，生物活用，地域資源活用）,8C00000223113110
総則,33,工業（工業技術基礎，課題研究，実習，製図，工業情報数理，工業材料技術，工業技術英語，工業管理技術，工業環境技術，機械工作，機械設計，原動機，電子機械，生産技術，自動車工学，自動車整備，船舶工学，電気回路，電気機器，電力技術，電子技術，電子回路，電子計測制御，通信技術，プログラミング技術，ハードウェア技術，ソフトウェア技術，コンピュータシステム技術，建築構造，建築計画，建築構造設計，建築施工，建築法規，設備計画，空気調和設備，衛生・防災設備，測量，土木基盤力学，土木構造設計，土木施工，社会基盤工学，工業化学，化学工学，地球環境化学，材料製造技術，材料工学，材料加工，セラミック化学，セラミック技術，セラミック工業，繊維製品，繊維・染色技術，染織デザイン，インテリア計画，インテリア装備，インテリアエレメント生産，デザイン実践，デザイン材料，デザイン史）,8C00000223113120
