Code,Subject,Descriptions
8600000000000000,総則,第１章 総則
8600000100000000,総則,"第１節 教育目標
小学部及び中学部における教育については，学校教育法第 72 条に定める目的を実現するために，児童及び生徒の障害の状態や特性及び心身の発達の段階等を十分考慮して，次に掲げる目標の達成に努めなければならない。"
8600000110000000,総則,"第１節 教育目標
小学部及び中学部における教育については，学校教育法第 72 条に定める目的を実現するために，児童及び生徒の障害の状態や特性及び心身の発達の段階等を十分考慮して，次に掲げる目標の達成に努めなければならない。|１ 小学部においては，学校教育法第 30 条第１項に規定する小学校教育の目標"
8600000120000000,総則,"第１節 教育目標
小学部及び中学部における教育については，学校教育法第 72 条に定める目的を実現するために，児童及び生徒の障害の状態や特性及び心身の発達の段階等を十分考慮して，次に掲げる目標の達成に努めなければならない。|２ 中学部においては，学校教育法第 46 条に規定する中学校教育の目標"
8600000130000000,総則,"第１節 教育目標
小学部及び中学部における教育については，学校教育法第 72 条に定める目的を実現するために，児童及び生徒の障害の状態や特性及び心身の発達の段階等を十分考慮して，次に掲げる目標の達成に努めなければならない。|３ 小学部及び中学部を通じ，児童及び生徒の障害による学習上又は生活上の困難を改善・克服し自立を図るために必要な知識，技能，態度及び習慣を養うこと。"
8600000200000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割
8600000210000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|１ 各学校においては，教育基本法及び学校教育法その他の法総令並則びにこの章以下に示すところに従い，児童又は生徒の人間として調和のとれた育成を目指し，児童又は生徒の障害の状態や特性及び心身の発達の段階等並びに学校や地域の実態を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。
8600000220000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り，児童又は生徒に生きる力を育むことを目指すものとする。
8600000221000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り，児童又は生徒に生きる力を育むことを目指すものとする。|(1) 基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力等を育むとともに，主体的に学習に取り組む態度を養い，個性を生かし多様な人々との協働を促す教育の充実に努めること。その際，児童又は生徒の発達の段階を考慮して，児童又は生徒の言語活動など，学習の基盤をつくる活動を充実するとともに，家庭との連携を図りながら，児童又は生徒の学習習慣が確立するよう配慮すること。
8600000222000000,総則,"第２節 小学部及び中学部における教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り，児童又は生徒に生きる力を育むことを目指すものとする。|(2) 道徳教育や体験活動，多様な表現や鑑賞の活動等を通して，豊かな心や創造性の涵養を目指した教育の充実に努めること。
学校における道徳教育は，特別の教科である道徳（以下「道徳科」という。）を要として学校の教育活動全体を通じて行うものであり，道徳科はもとより， 各教科，外国語活動，総合的な学習の時間，特別活動及び自立活動のそれぞれの特質に応じて，児童又は生徒の発達の段階を考慮して，適切な指導を行うこと。
道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，小学部においては，自己の生き方を考え，中学部においては，人間としての生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とすること。
道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち， 伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓く主体性のある日本人の育成に資することとなるよう特に留意すること。"
