,教科等,No,学習指導要領テキスト,学習指導要領コード
0,総則,1,第１章　総則,8200000000000000
1,総則,2,第１　小学校教育の基本と教育課程の役割,8200000000000000
2,総則,3,１　各学校においては，教育基本法及び学校教育法その他の法令並びにこの章以下に示すところに従い，児童の人間として調和のとれた育成を目指し，児童の心身の発達の段階や特性及び学校や地域の実態を十分考慮して，適切な教育課程を編成するものとし，これらに掲げる目標を達成するよう教育を行うものとする。,8200000000000000
3,総則,4,２　学校の教育活動を進めるに当たっては，各学校において，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(3)までに掲げる事項の実現を図り，児童に生きる力を育むことを目指すものとする。,8200000000000000
4,総則,5,(1) 基礎的・基本的な知識及び技能を確実に習得させ，これらを活用して課題を解決するために必要な思考力，判断力，表現力等を育むとともに，主体的に学習に取り組む態度を養い，個性を生かし多様な人々との協働を促す教育の充実に努めること。その際，児童の発達の段階を考慮して，児童の言語活動など，学習の基盤をつくる活動を充実するとともに，家庭との連携を図りながら，児童の学習習慣が確立するよう配慮すること。 ,8200000000000000
5,総則,6,(2) 道徳教育や体験活動，多様な表現や鑑賞の活動等を通して，豊かな心や創造性の涵《かん》養を目指した教育の充実に努めること。　学校における道徳教育は，特別の教科である道徳（以下「道徳科」という。）を要として学校の教育活動全体を通じて行うものであり，道徳科はもとより，各教科，外国語活動，総合的な学習の時間及び特別活動のそれぞれの特質に応じて，児童の発達の段階を考慮して，適切な指導を行うこと。　道徳教育は，教育基本法及び学校教育法に定められた教育の根本精神に基づき，自己の生き方を考え，主体的な判断の下に行動し，自立した人間として他者と共によりよく生きるための基盤となる道徳性を養うことを目標とすること。　道徳教育を進めるに当たっては，人間尊重の精神と生命に対する畏敬の念を家庭，学校，その他社会における具体的な生活の中に生かし，豊かな心をもち，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛し，個性豊かな文化の創造を図るとともに，平和で民主的な国家及び社会の形成者として，公共の精神を尊び，社会及び国家の発展に努め，他国を尊重し，国際社会の平和と発展や環境の保全に貢献し未来を拓《ひら》く主体性のある日本人の育成に資することとなるよう特に留意すること。,8200000000000000
6,総則,7,(3) 学校における体育・健康に関する指導を，児童の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うことにより，健康で安全な生活と豊かなスポーツライフの実現を目指した教育の充実に努めること。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，体育科，家庭科及び特別活動の時間はもとより，各教科，道徳科，外国語活動及び総合的な学習の時間などにおいてもそれぞれの特質に応じて適切に行うよう努めること。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮すること。,8200000000000000
7,総則,8,３　２の(1)から(3)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される児童に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，外国語活動，総合的な学習の時間及び特別活動（以下「各教科等」という。ただし，第２の3の(2)のア及びウにおいて，特別活動については学級活動（学校給食に係るものを除く。)に限る。)の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら，教育活動の充実を図るものとする。その際，児童の発達の段階や特性等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。,8200000000000000
8,総則,9,(1) 知識及び技能が習得されるようにすること。,8200000000000000
9,総則,10,(2) 思考力，判断力，表現力等を育成すること。,8200000000000000
10,総則,11,(3) 学びに向かう力，人間性等を涵《かん》養すること。,8200000000000000
11,総則,12,４　各学校においては，児童や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。,8200000000000000
12,総則,13,第２　教育課程の編成,8200000000000000
