PartitionKey,RowKey,Timestamp,OutcomeCode,OutcomeCode@type,OutcomeDescription,OutcomeDescription@type,Owner,Owner@type,Primary,Primary@type,Secondary,Secondary@type,Senior,Senior@type,Subject,Subject@type,Syllabus,Syllabus@type,SyllabusId,SyllabusId@type
mextJp,mextJp-84V10-84o0000000000000,2023-06-22T03:16:45.446576+0000,84o0000000000000,String,第３章 主として専門学科において開設される各教科,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|各教科（専門）,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0000000000000,2023-06-22T03:16:45.446576+0000,84P0000000000000,String,第１節 農業,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0100000000000,2023-06-22T03:16:45.446576+0000,84P0100000000000,String,"第１節 農業|第１款 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業や農業関連産業を通じ，地域や社会の健全で持続的な発展を担う職業人として必要な資質・能力を次のとおり育成することを目指す。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0100100000000,2023-06-22T03:16:45.446576+0000,84P0100100000000,String,"第１節 農業|第１款 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業や農業関連産業を通じ，地域や社会の健全で持続的な発展を担う職業人として必要な資質・能力を次のとおり育成することを目指す。|(1) 農業の各分野について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0100200000000,2023-06-22T03:16:45.446576+0000,84P0100200000000,String,"第１節 農業|第１款 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業や農業関連産業を通じ，地域や社会の健全で持続的な発展を担う職業人として必要な資質・能力を次のとおり育成することを目指す。|(2) 農業に関する課題を発見し，職業人に求められる倫理観を踏まえ合理的かつ創造的に解決する力を養う。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0100300000000,2023-06-22T03:16:45.446576+0000,84P0100300000000,String,"第１節 農業|第１款 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業や農業関連産業を通じ，地域や社会の健全で持続的な発展を担う職業人として必要な資質・能力を次のとおり育成することを目指す。|(3) 職業人として必要な豊かな人間性を育み，よりよい社会の構築を目指して自ら学び，農業の振興や社会貢献に主体的かつ協働的に取り組む態度を養う。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P0500000000000,2023-06-22T03:16:45.446576+0000,84P0500000000000,String,第１節 農業|第２款 各科目,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P1500000000000,2023-06-22T03:16:45.446576+0000,84P1500000000000,String,第１節 農業|第１ 農業と環境,String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P1502000000000,2023-06-22T03:16:45.446576+0000,84P1502000000000,String,"第１節 農業|第１ 農業と環境|１ 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業の各分野で活用する基礎的な資質・能力を次のとおり育成することを目指す。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
mextJp,mextJp-84V10-84P1502100000000,2023-06-22T03:16:45.446576+0000,84P1502100000000,String,"第１節 農業|第１ 農業と環境|１ 目標
農業の見方・考え方を働かせ，実践的・体験的な学習活動を行うことなどを通して，農業の各分野で活用する基礎的な資質・能力を次のとおり育成することを目指す。|(1) 農業と環境について体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。",String,MEXT of Japan,String,False,Boolean,True,Boolean,False,Boolean,高等学校|農業,String,高等学校 学習指導要領・専門（平成30年告示版）,String,84V10S,String
